"location","target","score","forecast_week","team","skill"
"HHS Region 4","3 wk ahead",-0.296098737205572,5,"PSI",0.743713992153483
"HHS Region 4","4 wk ahead",-2.81571066155193,5,"PSI",0.059862161883276
"HHS Region 4","Season onset",0,5,"PSI",1
"HHS Region 4","Season peak percentage",-0.226845433624925,5,"PSI",0.797043968966694
"HHS Region 4","Season peak week",-0.06795409901964,5,"PSI",0.934303358033074
"HHS Region 5","1 wk ahead",-0.12067357012418,5,"PSI",0.886323234759737
"HHS Region 5","2 wk ahead",-0.333643033843966,5,"PSI",0.716309434820311
"HHS Region 5","3 wk ahead",-0.352698321908306,5,"PSI",0.702789177498082
"HHS Region 5","4 wk ahead",-2.2570224970979,5,"PSI",0.104661651646231
"HHS Region 5","Season onset",0,5,"PSI",1
"HHS Region 5","Season peak percentage",-0.273379345953253,5,"PSI",0.760804124914875
"HHS Region 5","Season peak week",-0.100955266526293,5,"PSI",0.90397346985486
"HHS Region 6","1 wk ahead",-4.71376876704401,5,"PSI",0.008970904543335
"HHS Region 6","2 wk ahead",-0.555992428873727,5,"PSI",0.573502817921531
"HHS Region 6","3 wk ahead",-2.63931028600468,5,"PSI",0.071410505400096
"HHS Region 6","4 wk ahead",-3.78727880075352,5,"PSI",0.022657172721162
"HHS Region 6","Season onset",-10,5,"PSI",4.53999297624849e-05
"HHS Region 6","Season peak percentage",-0.682420641240263,5,"PSI",0.505392137446104
"HHS Region 6","Season peak week",-0.156363525408109,5,"PSI",0.85524822939171
"HHS Region 7","1 wk ahead",-0.075292670826693,5,"PSI",0.927472002605071
"HHS Region 7","2 wk ahead",-6.27498335423054,5,"PSI",0.001882822394546
"HHS Region 7","3 wk ahead",-10,5,"PSI",4.53999297624849e-05
"HHS Region 7","4 wk ahead",-10,5,"PSI",4.53999297624849e-05
"HHS Region 7","Season onset",0,5,"PSI",1
"HHS Region 7","Season peak percentage",-2.00040151346914,5,"PSI",0.135280955204991
"HHS Region 7","Season peak week",-2.61656287885273,5,"PSI",0.073053525619259
"HHS Region 8","1 wk ahead",-0.802206248778493,5,"PSI",0.448338725397148
"HHS Region 8","2 wk ahead",-0.106635183368382,5,"PSI",0.898853529899939
"HHS Region 8","3 wk ahead",-3.47493016430149,5,"PSI",0.030963996139972
